coach,team,season,should_go,shouldnt_go,pct,epa,count,z_wins,z_should,z_shouldnt,z_epa,above_mean_wins,above_mean_should,above_mean_shouldnt,above_mean_epa
Adam Gase,MIA,2016,0,1,0.625,-0.2775340075328635,16,0.6517055457215783,-1.8011995406165022,0.49297150027201964,-1.4449139534849829,1,0,1,0
Adam Gase,MIA,2017,0.5,1,0.375,-0.13259743833503934,14,-0.6546255353040723,0.43802719595704304,0.49297150027201964,-0.6118332173803998,0,1,1,0
Adam Gase,MIA,2018,0,1,0.4375,-0.02079821542330695,13,-0.32804276504765967,-1.8011995406165022,0.49297150027201964,0.03077740487120372,0,0,1,1
Adam Gase,NYJ,2019,0.2857142857142857,1,0.4375,-0.17131169103181754,17,-0.32804276504765967,-0.5216414054316193,0.49297150027201964,-0.8343588250505376,0,0,1,0
Adam Gase,NYJ,2020,0.4,1,0.125,-0.3822221579743851,15,-1.960956616329723,-0.009818151357665937,0.49297150027201964,-2.046650850625221,0,0,1,0
Andy Reid,KC,2016,0.25,1,0.75,0.23033065954117846,19,1.3048710862344035,-0.6815861723297296,0.49297150027201964,1.4742407707452596,1,0,1,1
Andy Reid,KC,2017,0.3333333333333333,0.8571428571428571,0.625,0.09569372189783608,22,0.6517055457215783,-0.30838171623413885,-1.5398168397669623,0.7003612747728495,1,0,0,1
Andy Reid,KC,2018,0.75,1,0.75,0.35273156492728663,16,1.3048710862344035,1.5576405642438156,0.49297150027201964,2.1777887912572367,1,1,1,1
Andy Reid,KC,2019,0.4,0.9090909090909091,0.75,0.02099820265682829,16,1.3048710862344035,-0.009818151357665937,-0.800621079752787,0.2710189873334488,1,0,0,1
Andy Reid,KC,2020,0.5,1,0.875,0.09658935738591376,11,1.958036626747229,0.43802719595704304,0.49297150027201964,0.7055092969443328,1,1,1,1
Andy Reid,KC,2021,0,1,0.7058823529411765,0.3827879284066563,10,1.0743420719357597,-1.8011995406165022,0.49297150027201964,2.350549727648962,1,0,1,1
Andy Reid,KC,2022,0.16666666666666666,0.9,0.8235294117647058,0.05900955982499461,16,1.689086110065477,-1.0547906284253206,-0.9299803377552669,0.4895044226190634,1,0,0,1
Anthony Lynn,LAC,2017,0.1,1,0.5625,-0.3327246536066825,19,0.32512277546516566,-1.3533541933017934,0.49297150027201964,-1.7621442033228194,1,0,1,0
Anthony Lynn,LAC,2018,0.2857142857142857,1,0.75,-0.14196820294043344,14,1.3048710862344035,-0.5216414054316193,0.49297150027201964,-0.665695424265325,1,0,1,0
Anthony Lynn,LAC,2019,0.4444444444444444,0.875,0.3125,-0.051826356352975944,17,-0.981208305560485,0.189224225226649,-1.2857182972620889,-0.14756920998735631,0,1,0,0
Anthony Lynn,LAC,2020,0.4,1,0.4375,-0.5518614154741824,16,-0.32804276504765967,-0.009818151357665937,0.49297150027201964,-3.021720139848383,0,0,1,0
Arthur Smith,ATL,2021,0,1,0.4117647058823529,-0.26955703492550975,11,-0.46251802338853554,-1.8011995406165022,0.49297150027201964,-1.3990631219908967,0,0,1,0
Arthur Smith,ATL,2022,0.625,1,0.4117647058823529,-0.05402742786564017,19,-0.46251802338853554,0.9978338801004294,0.49297150027201964,-0.16022074635349148,0,1,1,0
Ben McAdoo,NYG,2016,0.26666666666666666,1,0.6875,0.08527453308951163,28,0.9782883159779909,-0.6069452811106115,0.49297150027201964,0.640472831641536,1,0,1,1
Ben McAdoo,NYG,2017,0.3333333333333333,1,0.16666666666666666,-0.40698536394186086,15,-1.7432347694921146,-0.30838171623413885,0.49297150027201964,-2.188987253162365,0,0,1,0
Bill Belichick,NE,2016,0.5,1,0.875,0.22065262239587408,8,1.958036626747229,0.43802719595704304,0.49297150027201964,1.418612392388566,1,1,1,1
Bill Belichick,NE,2017,0.2,1,0.8125,0.10835939233052547,16,1.6314538564908163,-0.9055088459870841,0.49297150027201964,0.7731622669980838,1,0,1,1
Bill Belichick,NE,2018,0.3333333333333333,1,0.6875,-0.15272465010534383,9,0.9782883159779909,-0.30838171623413885,0.49297150027201964,-0.7275223943089082,1,0,1,0
Bill Belichick,NE,2019,0.2857142857142857,1,0.75,-0.13536184005506105,15,1.3048710862344035,-0.5216414054316193,0.49297150027201964,-0.6277227187847081,1,0,1,0
Bill Belichick,NE,2020,0.6,1,0.4375,0.26188898941405303,15,-0.32804276504765967,0.885872543271752,0.49297150027201964,1.6556348580086433,0,1,1,1
Bill Belichick,NE,2021,0,1,0.5882352941176471,0.2122361570589275,7,0.45959803380604153,-1.8011995406165022,0.49297150027201964,1.3702354011495088,1,0,1,1
Bill Belichick,NE,2022,0.125,0.8,0.47058823529411764,-0.22103657152205378,13,-0.15514600432367653,-1.241392856473116,-2.3529321757825534,-1.1201724073009742,0,0,0,0
Bill Callahan,WAS,2019,0.25,1,0.2727272727272727,-0.16734206250931735,10,-1.1890337048145658,-0.6815861723297296,0.49297150027201964,-0.811541801921803,0,0,1,0
Bill O'Brien,HOU,2016,0.2,1,0.5625,-0.19244444151998547,20,0.32512277546516566,-0.9055088459870841,0.49297150027201964,-0.955827736796116,1,0,1,0
Bill O'Brien,HOU,2017,0.16666666666666666,1,0.25,-0.07964397113589658,15,-1.3077910758168976,-1.0547906284253206,0.49297150027201964,-0.3074620453724591,0,0,1,0
Bill O'Brien,HOU,2018,0,1,0.6875,0.008058127419242483,18,0.9782883159779909,-1.8011995406165022,0.49297150027201964,0.19664074405198367,1,0,1,1
Bill O'Brien,HOU,2019,0.75,1,0.625,-0.012646700258885039,15,0.6517055457215783,1.5576405642438156,0.49297150027201964,0.07763148932435099,1,1,1,1
Brandon Staley,LAC,2021,0.8,0.5714285714285714,0.5294117647058824,0.02518617555549135,17,0.1522260147411825,1.7815632379011703,-5.605393519844924,0.29509103184584673,1,1,0,1
Brandon Staley,LAC,2022,0.375,1,0.5882352941176471,-0.009079980551907372,26,0.45959803380604153,-0.12177948818634331,0.49297150027201964,0.09813263334489183,1,0,1,1
Brian Daboll,NYG,2022,0.4444444444444444,1,0.5588235294117647,0.15857956138314647,23,0.305912024273612,0.189224225226649,0.49297150027201964,1.061822717795357,1,1,1,1
Brian Flores,MIA,2019,0.25,1,0.3125,-0.05082396319070627,13,-0.981208305560485,-0.6815861723297296,0.49297150027201964,-0.14180755550559454,0,0,1,0
Brian Flores,MIA,2020,0,1,0.625,0.13073305920462294,7,0.6517055457215783,-1.8011995406165022,0.49297150027201964,0.9017638405829487,1,0,1,1
Brian Flores,MIA,2021,0.6,1,0.5294117647058824,-0.08195976746623712,10,0.1522260147411825,0.885872543271752,0.49297150027201964,-0.320773008383562,1,1,1,0
Bruce Arians,ARI,2016,0.5714285714285714,1,0.46875,-0.3127796780225972,13,-0.16475137991945335,0.7579167297532636,0.49297150027201964,-1.647502501555346,0,1,1,0
Bruce Arians,ARI,2017,0.125,1,0.5,-0.08280526814039825,27,-0.00145999479124701,-1.241392856473116,0.49297150027201964,-0.32563286071693465,0,0,1,0
Bruce Arians,TB,2019,0.45454545454545453,1,0.4375,-0.08680757752014852,24,-0.32804276504765967,0.23446112899581156,0.49297150027201964,-0.34863773010672755,0,1,1,0
Bruce Arians,TB,2020,0.4,1,0.6875,-0.01326708681878268,12,0.9782883159779909,-0.009818151357665937,0.49297150027201964,0.07406557014433031,1,0,1,1
Bruce Arians,TB,2021,0.14285714285714285,0.9,0.7647058823529411,-0.13362108175590437,17,1.381714091000618,-1.1614204730240607,-0.9299803377552669,-0.6177170161986186,1,0,0,0
Chip Kelly,SF,2016,0.3333333333333333,1,0.125,0.00997613529813298,6,-1.960956616329723,-0.30838171623413885,0.49297150027201964,0.20766525928953958,0,0,1,1
Chuck Pagano,IND,2016,0.5,1,0.5,0.13710116137901598,15,-0.00145999479124701,0.43802719595704304,0.49297150027201964,0.9383670476023694,0,1,1,1
Chuck Pagano,IND,2017,0.45454545454545453,0.9166666666666666,0.25,0.13863784503781731,23,-1.3077910758168976,0.23446112899581156,-0.6928216980840533,0.9471997498025075,0,1,0,1
Dan Campbell,DET,2021,0.5555555555555556,1,0.20588235294117646,-0.07760529488984517,18,-1.5383200901155418,0.686830166687437,0.49297150027201964,-0.29574394056882386,0,1,1,0
Dan Campbell,DET,2022,0.6666666666666666,1,0.5294117647058824,-0.0043197236943298915,17,0.1522260147411825,1.1844361081482246,0.49297150027201964,0.1254941081535357,1,1,1,1
Dan Quinn,ATL,2016,0.5,1,0.6875,0.22051655163757744,10,0.9782883159779909,0.43802719595704304,0.49297150027201964,1.417830271436542,1,1,1,1
Dan Quinn,ATL,2017,0.5,1,0.625,0.04795994313499101,23,0.6517055457215783,0.43802719595704304,0.49297150027201964,0.42599234380603823,1,1,1,1
Dan Quinn,ATL,2018,0.16666666666666666,1,0.4375,0.02167220594708608,10,-0.32804276504765967,-1.0547906284253206,0.49297150027201964,0.27489309005502266,0,0,1,1
Dan Quinn,ATL,2019,0.8,1,0.4375,-0.06340025201393021,10,-0.32804276504765967,1.7815632379011703,0.49297150027201964,-0.21409479128261283,0,1,1,0
David Culley,HOU,2021,0.1,1,0.23529411764705882,-0.07050607602319757,19,-1.3846340805831123,-1.3533541933017934,0.49297150027201964,-0.254938348771477,0,0,1,0
Dennis Allen,NO,2022,0.14285714285714285,1,0.4117647058823529,-0.12615855519944982,18,-0.46251802338853554,-1.1614204730240607,0.49297150027201964,-0.5748231685571327,0,0,1,0
Dirk Koetter,TB,2016,0,1,0.5625,-0.10324200481672702,17,0.32512277546516566,-1.8011995406165022,0.49297150027201964,-0.4431011554897565,1,0,1,0
Dirk Koetter,TB,2017,0.5,1,0.3125,-0.10693746753107901,15,-0.981208305560485,0.43802719595704304,0.49297150027201964,-0.46434230129138904,0,1,1,0
Dirk Koetter,TB,2018,0.3333333333333333,1,0.3125,-0.08397228127224485,13,-0.981208305560485,-0.30838171623413885,0.49297150027201964,-0.33234073412875453,0,0,1,0
Doug Marrone,JAX,2017,0.1111111111111111,1,0.625,0.11929088408800209,24,0.6517055457215783,-1.3035935991557144,0.49297150027201964,0.83599537564997894,1,0,1,1
Doug Marrone,JAX,2018,0.25,1,0.3125,0.027244165402909935,23,-0.981208305560485,-0.6815861723297296,0.49297150027201964,0.3069201492761286,0,0,1,1
Doug Marrone,JAX,2019,0.8,1,0.375,0.19315134594562722,10,-0.6546255353040723,1.7815632379011703,0.49297150027201964,1.2605378377348242,0,1,1,1
Doug Marrone,JAX,2020,0.3333333333333333,0.8333333333333334,0.0625,-0.3402627908293361,9,-2.2875393865861358,-0.30838171623413885,-1.8786148964401246,-1.8054726534238714,0,0,0,0
Doug Pederson,JAX,2022,0.5555555555555556,0.9,0.5294117647058824,0.052177204880037735,19,0.1522260147411825,0.686830166687437,-0.9299803377552669,0.4502327376442137,1,1,0,1
Doug Pederson,PHI,2016,0.21428571428571427,1,0.4375,-0.04162953169184959,28,-0.32804276504765967,-0.8415309392278401,0.49297150027201964,-0.08895889347692498,0,0,1,0
Doug Pederson,PHI,2017,0.3333333333333333,1,0.8125,0.25848651603089284,21,1.6314538564908163,-0.30838171623413885,0.49297150027201964,1.6360777852401382,1,0,1,1
Doug Pederson,PHI,2018,0.5384615384615384,1,0.5625,0.19263982489618572,24,0.32512277546516566,0.6102754064627003,0.49297150027201964,1.2575976664946724,1,1,1,1
Doug Pederson,PHI,2019,0.8181818181818182,1,0.5625,-0.19209439590774102,22,0.32512277546516566,1.862989664685663,0.49297150027201964,-0.9538157100320441,1,1,1,0
Doug Pederson,PHI,2020,0.4,0.7142857142857143,0.28125,-0.15800351813781935,19,-1.1444996906886913,-0.009818151357665937,-3.5726051798059424,-0.7578647936814998,0,0,0,0
Frank Reich,IND,2018,0.3333333333333333,1,0.625,-0.06641570525312866,11,0.6517055457215783,-0.30838171623413885,0.49297150027201964,-0.23142731141955358,1,0,1,0
Frank Reich,IND,2019,0.6363636363636364,1,0.4375,-0.15180533864915272,25,-0.32804276504765967,1.048725396840737,0.49297150027201964,-0.7222382850680736,0,1,1,0
Frank Reich,IND,2020,0.8333333333333334,1,0.6875,-0.038243415829961325,21,0.9782883159779909,1.9308450203394067,0.49297150027201964,-0.06949584208575388,1,1,1,0
Frank Reich,IND,2021,0.5,1,0.5294117647058824,0.034960857365877014,13,0.1522260147411825,0.43802719595704304,0.49297150027201964,0.35127491395961224,1,1,1,1
Frank Reich,IND,2022,0.2857142857142857,1,0.3888888888888889,-0.23502425475515337,11,-0.5820515863582028,-0.5216414054316193,0.49297150027201964,-1.2005721953511752,0,0,1,0
Freddie Kitchens,CLE,2019,0.8571428571428571,0.8888888888888888,0.375,-0.016030424934279218,16,-0.6546255353040723,2.0374748649381464,-1.0880860975360775,0.05818218223122475,0,1,0,1
Gary Kubiak,DEN,2016,0.2,0.9090909090909091,0.5625,-0.03713398576861719,16,0.32512277546516566,-0.9055088459870841,-0.800621079752787,-0.0631189503373393,1,0,0,0
Gus Bradley,JAX,2016,0.4375,0.9285714285714286,0.14285714285714285,0.01616083593525467,30,-1.8676472533993194,0.15812385388534986,-0.5234226697474704,0.24321429282797918,0,1,0,1
Hue Jackson,CLE,2016,0.5,1,0.0625,0.0766228009732988,11,-2.2875393865861358,0.43802719595704304,0.49297150027201964,0.5907435507578648,0,1,1,1
Hue Jackson,CLE,2017,0.7142857142857143,1,0,-0.07643462022289965,10,-2.6141221568425483,1.3976957973457054,0.49297150027201964,-0.28901502102370324,0,1,1,0
Hue Jackson,CLE,2018,0.3333333333333333,1,0.3125,-0.3302098099138422,11,-0.981208305560485,-0.30838171623413885,0.49297150027201964,-1.747689136210255,0,0,1,0
Jack Del Rio,LV,2016,0.6,0.8571428571428571,0.75,0.16367106472918358,17,1.3048710862344035,0.885872543271752,-1.5398168397669623,1.0910881639065184,1,1,0,1
Jack Del Rio,LV,2017,0.3333333333333333,1,0.375,-0.0025530326960836085,14,-0.6546255353040723,-0.30838171623413885,0.49297150027201964,0.1356488692703074,0,0,1,1
Jason Garrett,DAL,2016,0.09090909090909091,1,0.8125,0.06296733987319424,24,1.6314538564908163,-1.3940674066940393,0.49297150027201964,0.5122533419162623,1,0,1,1
Jason Garrett,DAL,2017,0.42857142857142855,1,0.5625,-0.05845838330134386,10,0.32512277546516566,0.11813766216082217,0.49297150027201964,-0.18568942990556533,1,1,1,0
Jason Garrett,DAL,2018,0.5,1,0.625,-0.1253156786039869,14,0.6517055457215783,0.43802719595704304,0.49297150027201964,-0.5699783991626318,1,1,1,0
Jason Garrett,DAL,2019,0.4,1,0.5,-0.42421552630313103,12,-0.00145999479124701,-0.009818151357665937,0.49297150027201964,-2.288024483190464,0,0,1,0
Jay Gruden,WAS,2016,0.3,1,0.53125,-0.0942718684565998,23,0.1618313903369593,-0.45766349867237516,0.49297150027201964,-0.39154171922592734,1,0,1,0
Jay Gruden,WAS,2017,0,1,0.4375,-0.15854956939795808,21,-0.32804276504765967,-1.8011995406165022,0.49297150027201964,-0.7610034410792199,0,0,1,0
